Random ID,Standard,Passage,Tier,LLM,Temperature,Input Tokens,Output Tokens,Total Tokens,Elapsed Time
58287, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3b,GPT,0.7,3110,568,3678,13.74
47558, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3b,GPT,0.8,3689,564,4253,10.67
83594, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3b,Claude,0.7,3406,819,4225,28.04
50362, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3b,Claude,0.8,4239,838,5077,23.67
81425, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5a,GPT,0.7,1125,985,2110,15.34
10847, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5a,GPT,0.8,2121,776,2897,14.13
24150, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5a,Claude,0.7,1222,485,1707,19.27
19585, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5a,Claude,0.8,1721,544,2265,20.43
68824, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7b,GPT,0.7,3385,705,4090,13.61
24759, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7b,GPT,0.8,4101,685,4786,11.75
66799, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7b,Claude,0.7,3705,923,4628,30.61
53807, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7b,Claude,0.8,4642,955,5597,27.76
62888, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4a,GPT,0.7,1035,908,1943,17.19
62723, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4a,GPT,0.8,1954,943,2897,21.02
39529, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4a,Claude,0.7,1130,543,1673,19.25
25214, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4a,Claude,0.8,1687,547,2234,22.06
42872, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2b,GPT,0.7,3020,372,3392,8.36
12503, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2b,GPT,0.8,3403,380,3783,6.71
11767, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2b,Claude,0.7,3308,736,4044,22.92
26482, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2b,Claude,0.8,4058,753,4811,21.08
41998, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 6b,GPT,0.7,3317,541,3858,9.64
54113, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 6b,GPT,0.8,3869,522,4391,7.52
17342, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 6b,Claude,0.7,3624,840,4464,26.30
70844, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 6b,Claude,0.8,4478,759,5237,23.32
56097, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7a,GPT,0.7,1233,628,1861,13.27
11353, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7a,GPT,0.8,1872,548,2420,12.91
88001, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7a,Claude,0.7,1346,706,2052,21.91
48222, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 7a,Claude,0.8,2066,690,2756,21.22
88268, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5b,GPT,0.7,3277,644,3921,12.91
28767, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5b,GPT,0.8,3932,658,4590,11.55
91456, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5b,Claude,0.7,3581,720,4301,28.11
74396, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 5b,Claude,0.8,4315,733,5048,25.40
10383, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3a,GPT,0.7,958,754,1712,14.84
50123, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3a,GPT,0.8,1723,638,2361,12.72
79211, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3a,Claude,0.7,1047,488,1535,16.55
61962, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 3a,Claude,0.8,1549,500,2049,17.83
70080, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 6a,GPT,0.7,1165,568,1733,9.60
83251, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 6a,GPT,0.8,1744,536,2280,7.85
15135, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 6a,Claude,0.7,1265,475,1740,19.49
61800, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 6a,Claude,0.8,1754,484,2238,19.02
33595, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2a,GPT,0.7,868,482,1350,9.01
76440, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2a,GPT,0.8,1361,539,1900,11.90
42950, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2a,Claude,0.7,949,428,1377,15.72
48229, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 2a,Claude,0.8,1391,500,1891,18.41
63579, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4b,GPT,0.7,3187,809,3996,16.00
60761, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4b,GPT,0.8,4007,674,4681,12.91
56439, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4b,Claude,0.7,3489,779,4268,26.43
18286, RI 8.2,RI 8.2 Elephants Can Lend a Helping Trunk (NJ grade 8 practice test),Tier 4b,Claude,0.8,4282,811,5093,21.99
